應用區間,策略,tp_r,tol_fvg,總損益,勝率,單數
2023-07-01~2024-01-01,smc,1.15,0.002,-65.82000000000016,0.0,3
2023-07-01~2024-01-01,smc_loose,1.1,0.003,199.2300000000016,0.1044776119402985,67
2024-01-01~2024-07-01,smc,1.1,0.002,-714.7600000000016,0.030303030303030304,33
2024-01-01~2024-07-01,smc_loose,1.15,0.003,-497.6499999999992,0.06976744186046512,86
2024-07-01~2025-01-01,smc,1.2,0.002,298.9699999999989,0.08333333333333333,24
2024-07-01~2025-01-01,smc_loose,1.1,0.005,1276.5300000000007,0.12213740458015267,131
2025-01-01~2025-07-01,smc,1.05,0.002,341.9499999999982,0.20833333333333334,24
2025-01-01~2025-07-01,smc_loose,1.15,0.002,-44.80999999999926,0.08421052631578947,95
2025-07-01~2026-01-01,smc,1.05,0.002,-25.889999999999873,0.0,1
2025-07-01~2026-01-01,smc_loose,1.15,0.002,201.5900000000015,0.1111111111111111,9
